Study	id	c_num	c_mean	c_sd	c_sem	i_num	i_mean	i_sd	i_sem
Si YC. (2018)	Si_YC(2018)a	6	1397.94	89.25		6	1368.94	85.46	
Si YC. (2018)	Si_YC(2018)b	6	1397.94	89.25		6	1411.66	1108.31	
Si YC. (2018)	Si_YC(2018)c	6	1397.94	89.25		6	456.79	36.14	
Si YC. (2018)	Si_YC(2018)d	6	1397.94	89.25		6	442.91	23.17	
Wang_H_(2019)	Wang_H(2019)a	7	438.2142857	42.40792419		7	420.4221429	42.33651309	
Wei D. (2019)	Wei_D(2019)a	12	353.7170264	107.9935755	31.17505995	13	358.5131894	69.17124749	19.18465228
Wei D. (2019)	Wei_D(2019)b	12	353.7170264	107.9935755	31.17505995	12	383.6930456	112.1471746	32.37410072
Chen Y. (2020)	Chen_Y(2020)a	9	450.94	19.11		9	447.58	32.02	
Shen Y. (2020)	Shen_Y(2020)a	6	1050.4783	141.9394		6	1308.0183	75.8283	
Han QQ. (2021)	Han_QQ(2021)a	8	342.7083333	67.76439986	23.95833333	8	320.8333333	58.9255651	20.83333333
Han QQ. (2021)	Han_QQ(2021)b	8	342.7083333	67.76439986	23.95833333	8	358.3333333	26.51650429	9.375
Wang JM. (2021)	Wang_JM(2021)a	93	304	67		93	280	66	